Name,ReviewCount,Brand,ImageURL,Tags,Rating,Weighted Rating
"Pine-Sol All-Purpose Cleaner, Lemon, 144 oz, Bottle",9806.0,,https://i5.walmartimages.com/asr/cf14ba1d-834d-4eef-b73f-84a3d9d9131b_1.f9bd59fb5920e0918a092cd35859339e.jpeg | https://i5.walmartimages.com/asr/6248ba46-c8d5-4ef4-8020-1e748b63bd70_1.49e1b875e0b79a8c4190addaba26a115.jpeg | https://i5.walmartimages.com/asr/84a30666-e31f-4e81-a79d-b25ad7332729_1.2bc8866440eebf70e651e042452110b4.jpeg | https://i5.walmartimages.com/asr/b41195b6-07f4-45b3-8f1e-8e886a81a777_1.05dec63a04a6b07245a20abf84a098d4.jpeg | https://i5.walmartimages.com/asr/d1331432-e94c-4345-aee2-038824d22895_1.80c04456c8be184d839ed3aab3295b72.jpeg,"household, essentials, cleaning, supplies, cleaners, , purpose, cleaner, cleans, deodorize, surfaces, throughout, home, business, long, lasting, lemon, fresh, tough, grease, grime, fast",4.8,4.782195861649563
"Cascade Platinum ActionPacs, Dishwasher Detergent, Fresh Scent, 32 ct",5388.0,cascade,https://i5.walmartimages.com/asr/e42f8558-9bff-4752-8641-387b7012452e_1.cb6903d47fe8f54222bbfa2060bbd663.jpeg | https://i5.walmartimages.com/asr/3850da2b-7104-456c-855a-8b18ae94edb7_1.770353801c8d2ba6d2e667089c0ce548.jpeg | https://i5.walmartimages.com/asr/3b35dca8-beeb-4c85-ab86-bcfb99dbda4f_3.65ef5f19ad01c9f69bc77923a7a36ff0.jpeg | https://i5.walmartimages.com/asr/bd19bc86-384d-4e23-a9af-441e9929eff8_3.e112dd1cba5751939a424c789e358ae9.jpeg | https://i5.walmartimages.com/asr/843f5270-c27a-4057-b8e7-63a96dd3a940_3.c98ef9dcc1c6f19f4a05fac0859e33f4.jpeg | https://i5.walmartimages.com/asr/3eecbd89-bbd3-4db1-b068-997fc1c38eb4_1.550f468d4551d65895ddd5bfc8961e45.png | https://i5.walmartimages.com/asr/e9d67066-b730-489a-8e49-e45b4cef13d6_1.61c19c74740b464395c792fd6e95c942.jpeg | https://i5.walmartimages.com/asr/2c61d70c-77d0-4f8e-ac6e-ce70e6f08d16_1.4d6cf4f16ec5b938afa1991f7fa0e986.png | https://i5.walmartimages.com/asr/65b80409-144a-47cb-a006-7bcca855196f_2.60721717a5054505de3eda9e0fc3c337.jpeg | https://i5.walmartimages.com/asr/4a203726-b532-4232-8120-c0674f726a24_1.1987cd04569f583fcdf3694bd048ead7.jpeg | https://i5.walmartimages.com/asr/3e48885d-ba4d-4ae8-8ce2-68e314a98055_3.11ebcd1c04a490b88e756970173fd8ed.jpeg | https://i5.walmartimages.com/asr/ab81fe46-da2e-4bbc-92ac-0686329c78c0_1.34924345a66942ecba8babdeb104295b.png | https://i5.walmartimages.com/asr/74a79fd9-3b2c-4d73-85f7-bd6da61056ed_2.f84d229e1d45951209d68cb2e76a94ba.jpeg,"household, essentials, cleaning, supplies, dishwashing, dishwasher, detergent, cascade, cascade, platinum, actionpacs, dishwasher, detergent, cleans, messes, one, wash, needed, premium, tough, food, cleaning, powers, away, foods, rinse, aid, action, power, dawn, make, dishes, dazzle, plus, cascade, platinum, dishwashing, detergent, formulated, help, prevent, filming, keeping, machine, looking, fresh, clean, simply, pop, actionpac, reveal, platinum, sparkle, cascade, platinum, actionpacs, dishwasher, detergent, fresh, scent, 32, count, needed, cascade, platinum, dishwasher, detergent, removes, food, powerful, actionpac, unleashes, cleaning, agents, dissolve, food, lift, rinse, away, cascades, best, dishwashing, detergent, keep, silverware, dishwasher, sparkling, cascade, platinum, actionpacs, clean, food, well, skip, save, 15, gallons, water, per, dishwasher, load, dissolves, quickly, unleash, cleaning, power, early, cycle, formulated, power, dawn",4.8,4.767758439866012
"Gain Original 96 Loads, Liquid Laundry Detergent, 150 fl oz",3175.0,gain,https://i5.walmartimages.com/asr/30977d3c-c744-418f-97b0-cee8a37d69e1.61932251c6e72b41cfdeb5e111571b7d.jpeg | https://i5.walmartimages.com/asr/705a1546-9111-412f-a548-97304ed6ae3e.1eed2814a2ba9a3483b7bc8536e388cd.jpeg | https://i5.walmartimages.com/asr/6f3af4ec-d4c6-4565-a97f-80ab2e73bc4a.3ab8675bdc4eedc3b0a92446fd420724.jpeg | https://i5.walmartimages.com/asr/cc2cd4f7-1f52-49b8-8f73-154ddc75b364.96a223c4c5636c4127dc616caca2656a.jpeg | https://i5.walmartimages.com/asr/31b239d7-f9e6-48b0-ad4f-b3d78e0e8aba.28cacb0840e7acabcf65a9100fabeb88.jpeg | https://i5.walmartimages.com/asr/8d7d8185-147b-4527-ae4c-2966cae5fad5.11772c97ab0124d4f506d07c481a65d5.jpeg | https://i5.walmartimages.com/asr/4285863d-e5b3-4709-b1e3-33066a624757.efe2223e472043855e6c46c6e8c37b60.jpeg | https://i5.walmartimages.com/asr/52638d29-3ec3-4c8d-a91f-797dd5bad166.aecfef88f792e69d89b0046ddfa89e02.jpeg | https://i5.walmartimages.com/asr/421f82de-a747-485d-b0a5-f36adb0833f3.45aae40f922acb3253495a01df8f9fc3.jpeg | https://i5.walmartimages.com/asr/d06f73d9-3b95-470f-8d12-2a04c585aef8.799977ba724b4b373733eb662f02fec1.jpeg,"household, essentials, laundry, laundry, detergents, gain, good, gain, laundry, detergent, smell, loyal, users, called, gainiacs, nuff, said, youre, type, thinks, head, well, nose, youll, love, gain, laundry, detergent, works, regular, machines, detergent, lifts, away, dirt, locks, amazing, scent, keep, laundry, smelling, great, even, two, weeks, could, go, perfume, micro, capsules, gradually, break, release, scent, wear, clothes, youre, always, getting, bursts, ahhhhh, youve, probably, already, left, wash, laundry, gain, laundry, detergent, gain, liquid, laundry, detergent, original, scent, combines, overtones, orange, lemon, blossoms, modern, fruity, green, twist, undertones, white, floral, jasmine, hint, woody, amber, gain, original, 96, loads, liquid, laundry, detergent, 150, fl, oz, liquid, laundry, detergent, brilliant, cleaning, performance, leaves, behind, refreshing, gain, original, scent, smells, great, cleans, great, 6, weeks, freshness, wash, wear, freshness, 1, cap, gain, liquid, laundry, detergent, 1, bottle, leading, baking, soda, detergent, freshness, 1, large, dose, gain, 50, oz, bottle, leading, baking, soda, scent, regular, washer, compatible, like, household, detergent, keep, away, children",4.8,4.74570432578626
"Pine-Sol Multi-Surface Cleaner, Original, 144 oz Bottle",20997.0,clorox,https://i5.walmartimages.com/asr/3e98414e-3779-4ca7-a1a2-336d5e74e7df.2ac5386293241f3e4b1ef775d4e726c6.jpeg | https://i5.walmartimages.com/asr/f3ca25f3-8344-4035-8cbf-3422c7bf6886.34a33031a75e58730b9c6711d8851e07.jpeg | https://i5.walmartimages.com/asr/934f02b6-4b23-4a26-9408-3ad1345b28cd_1.4684af85a45b2522a5b831ddaaf8cdd1.jpeg | https://i5.walmartimages.com/asr/61b05307-db35-48bf-b97b-1016d2e518d3.3e38438911bcafd603d66d78cddb3339.jpeg | https://i5.walmartimages.com/asr/baf272ec-916f-4b4f-8f2b-477c5b12e913_1.20f7aab7cab0486e2ab484d0830c9d27.jpeg | https://i5.walmartimages.com/asr/b93b63c5-ccce-4900-a387-922d7c56912b.1f96b657a2a218d6ac3e3e281dc61b66.jpeg | https://i5.walmartimages.com/asr/265de893-33e2-40cb-8045-797c5a5d9574.61346637a30cdd3880e10d9669dc0dd5.jpeg | https://i5.walmartimages.com/asr/3f0ac7a5-620b-47cf-aceb-99b2b45d808d.de0fb4a91442942dd3274c9c925f2a9c.jpeg | https://i5.walmartimages.com/asr/c75e6866-f72e-4455-a6fa-52ade806934b.3e16ce0c546c432357e48dc169f14e0d.jpeg | https://i5.walmartimages.com/asr/83add72e-3790-4058-9e5c-f1d4d2c02ba7.70ffdab0311f8a1b107817ff4f8d7d0e.jpeg | https://i5.walmartimages.com/asr/1c594381-4683-4386-aa7f-890472df6642.672574c56d10b380499e0769f401b8f6.jpeg,"household, essentials, cleaning, supplies, cleaners, clorox, purpose, cleaner, need, one, cleaner, fight, dirt, grime, grease, epa, registered, disinfect, kill, 99, germs, surfaces, throughout, home, gives, 4x, cleaning, action, great, long, lasting, scent, deodorizes, wipes, odor, causing, bacteria, leaving, pleasant, pine, scent, concentrated, formula, cleaner, tackle, challenge, mix, purpose, cleaner, water, different, strengths, adjust, cleaning, power, time, unlike, premixed, cleaners, purpose, cleaner, safe, use, hard, surfaces, including, finished, hardwood, ceramic, tile, linoleum, plastic, leaves, sticky, residue, original, pine, also, used, freshen, laundry, power, side, clean, get, job, done, right, disinfectant, cleaner, ideal, solution, mess, makes, home, sparkle, smell, brand, new, cleaning, disinfecting, killing, 99, germs, penetrating, tough, stains, removing, odors, packaging, may, vary, safe, surface, concentrate, cleaner, penetrates, cleans, messes, wide, variety, hard, nonporous, surfaces, indoors, outdoors, safe, use, appliances, outdoor, furniture, bathroom, kitchen, freshen, laundry, concentrated, cleaner, purpose, cleaner, concentrated, household, disinfectant, cleaner, diluted, different, strengths, adjusting, cleaning, power, types, jobs, heavy, cleaning, light, touch, ups, scent, disinfect, deodorize, eliminate, odor, causing, bacteria, long, lasting, fresh, scent, cleaner, original, pine, dilutable, formula, tackle, job, cleaner, 1, dilutable, cleaner, based, iri, sales, data, dated, purpose, disinfecting, cleaner, powers, tough, dirt, grease, grime, stand, ideal, cleaner, every, household, needs, leave, floors, bathroom, home, sparkling, smelling, great",4.7,4.691944100962852
"Garnier Whole Blends Repairing Shampoo Honey Treasures, For Damaged Hair, 22 fl. oz.",13809.0,garnier,https://i5.walmartimages.com/asr/e30b8e1a-5538-4d8d-a8df-01f5333cd449.dd07c186054db64fb8db8cf4a69f8d26.jpeg | https://i5.walmartimages.com/asr/a219b936-fa53-4356-86a0-840dc9f5f89b.f7d71bf86a8fce0dea9a9d0804400bea.jpeg | https://i5.walmartimages.com/asr/a7940258-3e39-4279-b915-e2fad2515865.2b1f3097d866678e16357dcf0b982866.jpeg | https://i5.walmartimages.com/asr/4004fcd8-c2c4-44ee-83b0-71df7bdeec61.688657d3c0232e014ba0249d18d67b7d.jpeg | https://i5.walmartimages.com/asr/6e7f088f-6b27-4efa-8eeb-ca4363258302.8ed205a86204a903641a095943738707.jpeg | https://i5.walmartimages.com/asr/f2fccf5a-41d9-46a5-b267-bd562dd15a22.11c97d129f66f1870526c3d541ca58f7.jpeg | https://i5.walmartimages.com/asr/0d141c3c-ea19-4a6c-b6c2-d6a8a07aef20.cbb5c449c5774ba9113b24932427b13e.jpeg | https://i5.walmartimages.com/asr/0492cfd7-ff66-4901-8f5b-8cf3d5443d60_1.51a30507b3f8b5e432e96804bf98b934.jpeg | https://i5.walmartimages.com/asr/feec4900-a346-4a62-9f78-26554d9e0d7a.c80b0b64881d3f29fff7c170a3cf49d0.jpeg | https://i5.walmartimages.com/asr/29f22781-6a39-4d88-991d-f5b7a5940b52.789f9b3108c3fd6907ccf50639efa95f.jpeg,"beauty, hair, care, hair, care, brands, garnier, hair, care, garnier, creamy, lush, repairing, shampoo, damaged, hair, blooms, delicious, fragrance, royal, jelly, honey, propolis, bringing, life, wholesome, care, strengthens, hair, helps, prevent, split, ends, breakage, using, garnier, whole, blends, repairing, system, shampoo, conditioner, whole, blends, repairing, shampoo, strengthens, hair, prevents, split, ends, formula, blended, honey, known, replenish, propolis, royal, jelly, known, nourish, repair, gentle, enough, everyday, use, every, blend, theres, whole, blends, hair, care, blended, purpose",4.7,4.687768979577123
"Dixie Everyday Paper Snack or Dessert Plates, 7&quot, 50 Count",1446.0,dixie,https://i5.walmartimages.com/asr/f5cf70ac-0954-4b20-a201-e5a5f9e8e7d9_1.3b36affc6958576b563e09f3df5f445a.jpeg | https://i5.walmartimages.com/asr/bce8ab98-834d-408d-855b-b51691a90e02_1.5390e8fb4d70b04b272844503fd28125.jpeg | https://i5.walmartimages.com/asr/664bf734-a446-4d72-97a8-f14d5ca8425a_1.4264d74fdc1d4ff36206e2790cfafaaa.jpeg | https://i5.walmartimages.com/asr/afe9137c-8682-4be2-a616-e533e2b4b849_2.33292a82bd5b0039c4445f0a9f71d522.png | https://i5.walmartimages.com/asr/519eb0fd-5353-4a8b-8c1e-0561c74bd496_4.97529fe335908e85dfc5bfbd5eb9995e.png | https://i5.walmartimages.com/asr/1450cb10-c830-4a20-858f-353e5256d962_2.e825bb22cd8bd681e14acfcbd2f08ad6.jpeg | https://i5.walmartimages.com/asr/914713d7-c084-489c-b550-3a8ffbea4eb2_2.0f4db1c031ce06fbafd0639f4f8d9670.jpeg | https://i5.walmartimages.com/asr/63b7289e-a93a-44d1-823e-b457469cac5b_1.9d7856f2c6925d4f7b81d294bd0f4746.jpeg | https://i5.walmartimages.com/asr/717c21af-7388-4207-a255-f244d389155b_1.dd6e3318b52ba03c2298e6aab7bac50a.jpeg,"household, essentials, paper, plastic, disposable, tabletop, paper, plates, dixie, make, meals, easy, convenient, dixie, everyday, paper, plates, two, times, stronger, leading, comparable, store, brand, paper, plate, double, servings, dixie, paper, plates, shield, handle, anything, salad, dressing, burger, grease, theyre, microwavable, make, reheating, leftovers, breeze, perfect, everything, quick, snacks, family, friends, youll, love, disposable, plates, hand, dixie, products, offer, convenience, attractive, designs, affordable, price, dixie, everyday, disposable, dinner, plates, versatile, affordable, focus, day, dishes, spend, less, time, sink, time, table, dixie, everyday, paper, meals, easy, convenient, dixie, everyday, paper, plates, two, times, stronger, leading, comparable, store, brand, paper, plate, double, servings, dixie, paper, plates, shield, handle, anything, salad, dressing, burger, grease, theyre, microwavable, make, reheating, leftovers, breeze, perfect, everything, quick, snacks, family, friends, youll, love, disposable, plates, hand, dixie, products, offer, convenience, attractive, designs, affordable, price, dixie, everyday, disposable, dinner, plates, versatile, affordable, focus, day, dishes, spend, less, time, sink, time, table, dixie, everyday, paper, plates, 50, plates, per, pack, 7, quot, paper, plate, microwavable, soak, proof, shield, ideal, size, snacks, desserts",4.8,4.6833792
"essie nail polish, bahama mama, purple nail polish, 0.46 fl. oz.",4727.0,essie,https://i5.walmartimages.com/asr/1c5cca0f-e8dd-4cd6-9ced-bf736900b643_1.54b9b657cc8d24a9dd005050fbdda625.jpeg | https://i5.walmartimages.com/asr/81c0b1d8-b819-4817-8a1e-b36a2c13fab5_1.2d31c2c344d2719c53dfcea48e18b647.jpeg | https://i5.walmartimages.com/asr/5e229f33-d8c9-434b-92d6-5ebc9359170d_1.ccabbcd2d638317abf3aa6db3397c943.jpeg | https://i5.walmartimages.com/asr/d77e0959-1ded-4854-a6b1-9f59c51a23ea_1.9184b77e012edf2c17eb3a73ad6955db.jpeg | https://i5.walmartimages.com/asr/b532f7bb-cb0a-47de-a5ad-b52e1b899a2d_1.14951f0a39506bae554bd70e1eb5098c.jpeg | https://i5.walmartimages.com/asr/c46b5ab8-f32a-4f3e-9a58-04ca7d116294_1.03ea64443e30982d3b6de7e20564c01d.jpeg,"beauty, nail, care, nail, polish, nail, polish, essie, 35, years, essie, ultimate, color, authority, offering, line, superior, nail, polishes, trendsetting, shades, exclusive, award, winning, formula, always, classic, chic, sassy, elegant, essie, nail, polish, provides, flawless, streak, free, coverage, along, chip, resistant, formula, essie, nail, polishes, dbp, toluene, formaldehyde, flawless, coverage, outstanding, durability, glossy, shine, matte, finishes, available, comes, extensive, palette, shades, cult, favorite, ballet, slippers, new, trendsetting, colors, add, essie, compliment, look",4.7,4.664565234738107
"Johnsons CottonTouch Newborn Baby Wash & Shampoo, 13.6 fl. oz",1151.0,johnson,https://i5.walmartimages.com/asr/f8f635a0-fa1a-4cdd-ad8d-90ca0ac75fdd.a490b02cdfe07a63cd9a6546145b8ace.jpeg | https://i5.walmartimages.com/asr/5d65d36e-a33f-461d-bc2a-dac885a642e4_1.9ce7662ad39ab5c87d618e0f76e16936.png | https://i5.walmartimages.com/asr/2527fbac-ebff-4d28-814e-84e8edbc66fa_1.df8c7fe4a2cad7cd2dacf90be03d755a.png | https://i5.walmartimages.com/asr/52261799-0978-408a-85d5-1782d04dcbd9_1.849bf589a0260b73577879b46a3f4b2c.jpeg | https://i5.walmartimages.com/asr/4877942d-a387-4f4b-b4bb-b2c7760b4f5c_1.4140f054fc54b28dd5ca3bf64a3c9ef6.jpeg | https://i5.walmartimages.com/asr/5dd689b1-23aa-41b5-8fec-c8b4c1c547f3.7c2078df2c852b24d9e71c859cddd2ed.jpeg | https://i5.walmartimages.com/asr/1d6432bd-eb9f-4e01-a654-bc7a2ded6760.ad97691d4c08c35b23a130f902776e7b.jpeg | https://i5.walmartimages.com/asr/64c33fa2-f997-4886-b3bd-b634897c30a9.3339bad7411e81aa4d478c4ab87eb909.jpeg | https://i5.walmartimages.com/asr/23aa452e-a54c-4120-be12-163b9c5740bf.e0ec0be3fac0359a944e94df637520bd.jpeg | https://i5.walmartimages.com/asr/4b3bb062-ac43-4e5e-aad1-c06bfcdd97cf.5705e2831855c7f4414db1d410014ace.jpeg,"baby, health, safety, baby, bath, baby, shampoos, body, washes, johnson, gently, cleanse, babys, skin, hair, johnsons, cottontouch, newborn, baby, wash, shampoo, specially, formulated, gentle, newborns, sensitive, skin, nourishing, baby, wash, baby, shampoo, leaves, skin, hair, clean, touchably, soft, johnsons, tears, wont, irritate, babys, delicate, eyes, bath, time, light, velvety, texture, wash, rinses, easily, leaves, babys, hair, skin, feeling, clean, moisturized, johnsons, choice, hospitals, baby, wash, shampoo, ph, balanced, hypoallergenic, free, parabens, phthalates, sulfates, dyes, baby, bath, wash, blended, real, cotton, soft, newborns, skin, gently, washes, away, dirt, germs, safety, assurance, process, designed, meet, exceed, governmental, regulatory, cosmetic, standards, around, world, feel, good, using, cottontouch, newborn, baby, body, wash, shampoo, little, one, bottle, johnsons, cottontouch, newborn, baby, wash, shampoo, formula, blended, real, cotton, specially, designed, gentle, newborn, babys, sensitive, skin, bath, wash, ph, balanced, babys, sensitive, skin, hypoallergenic, free, parabens, phthalates, sulfates, light, velvety, lather, baby, bath, wash, leaves, skin, hair, clean, touchably, soft, baby, shampoo, body, wash, also, rinses, clean, leaves, residue, johnsons, tears, formula, gentle, eyes, pure, water, baby, wash, shampoo, gently, washes, away, dirt, germs, johnsons, 1, choice, hospitals, use, johnsons, cottontouch, baby, body, wash, shampoo, gentle, clean",4.8,4.654976198142415
"Oral-B 7000 Smartseries Electric Toothbrush, 3 Brush Heads, Black",1104.0,,https://i5.walmartimages.com/asr/c684ca52-d5f9-4c2b-9f49-6595021e0abd.ab5634ff53e4cb1898c94cf0c9a3d75f.jpeg | https://i5.walmartimages.com/asr/01304f87-4f2f-4837-846c-48027e4de8a2_1.60c5028aeecf2bc745d700e3dcaf1269.jpeg | https://i5.walmartimages.com/asr/a59ad10b-e4e3-45a1-809f-ededc06179d8.3e619e30125e6a8e67f8405dc6eaba07.jpeg | https://i5.walmartimages.com/asr/0e7e538d-ccc8-4bf6-94bb-c3c89cf04ea1.2fac9d4234f9ea4b87f67630090bffb2.jpeg | https://i5.walmartimages.com/asr/608835d8-7a07-40e2-b0a8-e827249fe144.70efd3afe15844a6653d5b02eb912686.jpeg | https://i5.walmartimages.com/asr/c096d91e-f153-485a-a5fa-dfed242b15f9.2f5838b2fc9709fb320606a27f8048fc.jpeg | https://i5.walmartimages.com/asr/30b9161a-27e8-4cd5-8128-ad480d40cbb2_1.3024c6064502d4f66c2a09b2af1d7c5e.jpeg | https://i5.walmartimages.com/asr/6bb5dc6f-1435-4054-9eba-0c6e2bfcbb5f_1.b03eda5b785fcce76ad7ac5f1cdb4b08.jpeg | https://i5.walmartimages.com/asr/53503790-6158-49ec-ac4d-e7c619b3e0cd_1.ac9463a92ed59581adfab83f97d5f1f3.jpeg | https://i5.walmartimages.com/asr/c63b48a6-4d7a-468d-ad86-306703aea96c.1a3b461330591a77f667529f1c00699a.jpeg | https://i5.walmartimages.com/asr/a5507f4c-ab2c-4a36-920b-92e5a51be0e3.d3675e91822ce81d7e29362ed7dac17f.jpeg | https://i5.walmartimages.com/asr/597f7610-13a5-43b4-8974-5e8f04baa918.ccfdb52ff7de48f332535fbd3127c1a9.jpeg | https://i5.walmartimages.com/asr/cd64a1c8-b7e9-4e67-ad7b-f2dbdc1c2bb4.01b7ad0ec8633e2a9972333db9ada708.jpeg,"seasonal, last, minute, gifts, , smartseries, black, 7000, bluetooth, technology, worlds, first, electric, toothbrush, kind, bluetooth, connectivity, bluetooth, communication, allows, brush, connect, smartphone, give, feedback, brushing, habits, professionally, inspired, design, crossaction, brush, head, surrounds, tooth, bristles, angled, 16, degrees, 3d, cleaning, action, oscillates, rotates, pulsates, break, remove, 500, plaque, regular, manual, toothbrush, rechargeable, handle, 6, modes, every, oral, care, need, daily, clean, gum, care, sensitive, whitening, deep, clean, tongue, cleaning, pressure, sensor, lights, brush, hard, prevent, harmful, 6, modes, timer, help, brush, 2, minutes, package, includes, 1, smartseries, handle, 1, crossaction, brush, head, 1, 3d, white, brush, head, 1, sensitive, brush, head, 1, premium, charger, refill, head, storage, 1, premium, travel, case, smart, guide, smartseries, handles, compatible, following, replacement, toothbrush, heads, crossaction, 3d, white, sensitive, clean, precision, clean, flossaction, deep, sweep, ortho, dual, precision, engineering, braun, dental, expertise, 1, brand, used, recommended, dentists, worldwide, 100, satisfaction, guaranteed, manufacturer, contact, information, customer, support, 800, 800, 7000, smartseries, electric, toothbrush, 3, brush, heads, powered, braun, black, bluetooth, communication, provides, real, time, feedback, brushing, habits, crossaction, round, brush, head, removes, 500, plaque, regular, manual, toothbrush, pressure, sensor, lights, brush, hard, rechargeable, 6, cleaning, modes, allow, brush, based, needs, compatible, brush, heads, every, oral, care, need, crossaction, flossaction, precision, clean, 3d, white, sensitive, gum, care, deep, sweep, dual, clean, 1, toothbrush, brand, worldwide, recommends, brushing, crest, toothpaste, optimal, results",4.8,4.649121683487223
Dove go fresh Beauty Bar Cucumber and Green Tea 3.75 oz 6 Bars,1096.0,dove,https://i5.walmartimages.com/asr/47014ff8-67d6-4051-8d4c-a2668f6d4784_1.6058fca031ea2ac995c5fb4958908be4.jpeg | https://i5.walmartimages.com/asr/4cf6c4aa-7554-4d01-9b63-de7df0fe6276_1.9c964ef6edf226f7d92292215a2ff2f1.jpeg | https://i5.walmartimages.com/asr/ff0be4f5-654d-4812-a6ad-02bb751d69f1_1.245b49ba64bb67e07f1b3fbda499a4d2.jpeg | https://i5.walmartimages.com/asr/294ad713-12e2-4662-a0a3-022081baaba6_2.a575241baaf14fd4db56eb0470f13d19.jpeg | https://i5.walmartimages.com/asr/2871efcf-cf6d-4806-827a-f51cf08cfd73_1.a973371cbb9a09fd4e16a3d19490d536.jpeg | https://i5.walmartimages.com/asr/97a3c680-6bd8-4e88-a5ce-2e6268f9aee8.60d461cb4e78cd5ed50f3cdc9741e5e6.jpeg | https://i5.walmartimages.com/asr/62e6783b-acd0-4473-b139-7f6f3f81f0d6.e2a48558108634137150fa74d9d5d67c.jpeg | https://i5.walmartimages.com/asr/766520c4-09b3-4336-b3eb-e60d3131da48_1.25e44548c5c23561e11f0db34de24c65.jpeg,"personal, care, bath, body, bar, soap, dove, dove, go, fresh, cucumber, green, tea, beauty, bar, combines, refreshing, scent, cucumber, green, tea, doves, gentle, cleansers, moisturizing, cream, dove, beauty, bar, proven, gentle, mild, skin, ordinary, bar, soap, used, hand, soap, mild, facial, cleanser, youre, also, fresh, face, refreshed, hands, throughout, day, try, adding, dove, beauty, bar, go, fresh, cucumber, green, tea, skin, care, routine, bar, soap, beauty, bar, light, hydrating, feel, refreshing, formula, effectively, nourishes, skin, refreshing, shower, need, start, day, right, doves, go, fresh, range, blends, nourishing, ingredients, light, fresh, scents, formula, thats, gentle, skin, whether, used, bar, soap, facial, cleanser, body, wash, hand, soap, dove, go, fresh, beauty, bars, give, feeling, hydrating, freshness, leaves, skin, feeling, blissfully, revived, unlike, using, harsh, bar, soap, best, results, hands, one, driest, parts, body, give, boost, lather, dove, beauty, bar, wet, hands, youve, covered, body, rich, lather, making, sure, avoid, contact, eyes, rinse, away, thoroughly, dove, vision, world, beauty, source, confidence, anxiety, mission, help, next, generation, women, develop, positive, relationship, way, look, helping, raise, realize, full, potential, dove, go, fresh, beauty, bar, cucumber, green, tea, oz, 6, bars, dove, go, fresh, cool, moisture, beauty, bar, combines, refreshing, scents, cucumber, green, tea, doves, mild, cleansers, revitalize, senses, skin, dove, beauty, bar, 1, dermatologist, recommended, beauty, bar, Â¼, moisturizing, cream, dove, beauty, bar, helps, skin, maintain, natural, moisture, barrier, keep, skin, hydrated, dove, beauty, bar, leaves, skin, feeling, softer, smoother, looking, radiant, compared, ordinary, bar, soap, formulated, mild, cleansers, dove, beauty, bar, doesnt, dry, skin, like, soap, bars, bar, soap, beauty, bar",4.8,4.648077768648649
